usr_mcno,usr_mctype,sub_mcno,sub_mcstuen,usr_devtname,devt_location,mcst_houseno,mcst_roadname,mcst_unitno,mcst_buildingname,mcst_postalcode,mcst_telno,ust_status,mcst_stratalota,managementname,management_tel_no,mc_form_date
2107,Single Tier Management Corporation,na,S97MC2107K,CRESCENDO PARK,6 JALAN TUA KONG 457269,6,JALAN TUA KONG,B1-01,CRESCENDO PARK,457269,69099969,ACTIVE,77,na,na,25/9/1997
2108,Single Tier Management Corporation,na,S97MC2108F,PEPPERMINT GROVE,45 NEWTON ROAD 307971,45,NEWTON ROAD,1-Apr,PEPPERMINT GROVE,307971,62569333,ACTIVE,15,Newman & Goh Property Consultants Pte Ltd,62569333,9/7/1997
2109,Single Tier Management Corporation,na,S97MC2109B,PARKSHORE CONDOMINIUM,201 TANJONG RHU ROAD 436917,201,TANJONG RHU ROAD,1-Dec,PARKSHORE CONDOMINIUM,436917,63468082,ACTIVE,152,Savills Property Management Pte Ltd,63463238,8/10/1997
2110,Single Tier Management Corporation,na,S97MC2110K,ASTON LODGE,56 LORONG 8 GEYLANG 399116,1014,GEYLANG EAST AVENUE 3,02-186,na,389729,67441083,ACTIVE,13,Chern Sern Property Services Pte Ltd,67441083,26/7/1997
2111,Single Tier Management Corporation,na,S97MC2111F,PACIFIC VIEW CONDOMINIUM (Terminated),244 PASIR PANJANG ROAD 118602,244,PASIR PANJANG ROAD,-2,PACIFIC VIEW CONDOMINIUM,118602,96309168,DEFUNCT,50,NIL,na,19/8/1997
2112,Single Tier Management Corporation,na,S97MC2112B,CHILTERN PARK,131 SERANGOON AVENUE 3 556112,137,SERANGOON AVENUE 3,2-Jan,CHILTERN PARK THE CLUBHOUSE,556115,6281 6288,ACTIVE,501,Property Facility Services Pte Ltd,62211313,22/9/1997
2113,Single Tier Management Corporation,na,S97MC2113J,COUNTRY GRANDEUR,22 LORONG PUNTONG 576439,22,LORONG PUNTONG,1-Jan,COUNTRY GRANDEUR,576439,69098574,ACTIVE,68,Rhodo Strata Management Services Pte Ltd,69098574,30/9/1997
2114,Single Tier Management Corporation,na,S97MC2114E,L&Y BUILDING,59 JALAN PEMIMPIN 577218,59,JALAN PEMIMPIN,03-00,L&Y BUILDING,577218,62230169,ACTIVE,24,SMART PROPERTY MANAGEMENT (S) PTE LTD,6223 0169,30/9/1997
2115,Single Tier Management Corporation,na,S97MC2115A,TEMBELING MANSIONS,230 TEMBELING ROAD 423742,230,TEMBELING ROAD,1-Mar,TEMBELING MANSIONS,423742,87782304,ACTIVE,11,First Boston Property Consultants Pte Ltd,87782304,31/7/1997
2116,Single Tier Management Corporation,na,S97MC2116H,TELOK KURAU MANSION,38 LORONG L TELOK KURAU 425445,38,LORONG L TELOK KURAU,na,TELOK KURAU MANSION,425445,98214774,ACTIVE,5,na,na,4/8/1997
2117,Single Tier Management Corporation,na,S97MC2117D,KURAU COURT,201 TELOK KURAU ROAD,na,UPPER SERANGOON ROAD,na,na,534739,62886969,ACTIVE,22,MCST,na,11/8/1997
2118,Single Tier Management Corporation,na,S97MC2118L,JANSEN 8,733 BUKIT TIMAH ROAD 269748,55,LORONG L TELOK KURAU,Feb-69,Bright Centre,425500,63488278,ACTIVE,21,Iland Property Consultants Pte Ltd,63488278,12/8/1997
2119,Single Tier Management Corporation,na,S97MC2119G,HILLVIEW HEIGHTS,27 HILLVIEW AVENUE 669559,27A,HILLVIEW AVENUE,02-00,HILLVIEW HEIGHTS,669560,67637829,ACTIVE,360,na,na,22/11/1997
2120,Single Tier Management Corporation,na,S97MC2120D,ASTORIA PARK,28 LORONG MYDIN 416883,30,LORONG MYDIN,2-Jan,ASTORIA PARK,416825,68421847,ACTIVE,354,Rhodo Property & Estate Management Services Pte Ltd,65333375,8/11/1997
2121,Single Tier Management Corporation,na,S97MC2121L,BEAUTY WORLD CENTRE,144 UPPER BUKIT TIMAH ROAD 588177,144,UPPER BUKIT TIMAH ROAD,Feb-38,BEAUTY WORLD CENTRE,588177,64660379,ACTIVE,274,na,na,8/10/1997
2122,Single Tier Management Corporation,na,S97MC2122G,BUKIT REGENCY,1 UPPER BUKIT TIMAH VIEW 588132,11,UPPER BUKIT TIMAH VIEW,1-Jan,BUKIT REGENCY,588137,64663047,ACTIVE,224,Property Facility Serivces Pte Ltd,97335094,31/10/1997
2123,Single Tier Management Corporation,na,S97MC2123C,DEVONSHIRE LODGE,59 DEVONSHIRE ROAD 239856,59,DEVONSHIRE ROAD,na,DEVONSHIRE LODGE,239856,62218288,DEFUNCT,27,CHESTERTON INTERNATIONAL PROPERTY CONSULTANTS PTE LTD,62218288,19/8/1997
2124,Single Tier Management Corporation,na,S97MC2124K,NORTHSHORE BUNGALOWS,247 PONGGOL SEVENTEENTH AVENUE 829695,81,UBI AVENUE 4,9-May,UB One,408830,90092584,ACTIVE,22,Focus Strata Management Pte Ltd,64436039,27/9/1997
2125,Single Tier Management Corporation,na,S97MC2125F,SEABREEZE APARTMENTS,542C JOO CHIAT ROAD 427714,540,SIMS AVENUE,3-Jun,SIMS AVENUE CENTRE,387603,68421731,DEFUNCT,56,LANDSFIELD PROPERTY CONSULTANTS PTE LTD,68421731,1/10/1997
