place_id,place_name,url,postal_code,address,lat,lon,place_category,last_update_dt
pid_1,Adam Road Food Centre,,289876,"2, Adam Road, S(289876)",1.324159853,103.8141659,,2021-04-03 22:46:02.294312
pid_2,Amoy Street Food Centre,,069111,"National Development Building, Annex B, Telok Ayer Street, S(069111)",1.279339864,103.8466525,,2021-04-03 22:46:02.320626
pid_3,Bedok Food Centre,,469572,"1, Bedok Road, S(469572)",1.320354084,103.9554719,,2021-04-03 22:46:02.346017
pid_4,Beo Crescent Market,,169982,"38A, Beo Crescent, S(169982)",1.288840079,103.82740079999999,,2021-04-03 22:46:02.371306
pid_5,Berseh Food Centre,,208877,"166, Jalan Besar, S(208877)",1.307336537,103.856854,,2021-04-03 22:46:02.396581
pid_6,Bukit Timah Market,,588215,"51, Upper Bukit Timah Road, S(588215)",1.339609749,103.7760889,,2021-04-03 22:46:02.421508
pid_7,Chomp Chomp Food Centre,,557269,"20, Kensington Park Road, S(557269)",1.364223804,103.8665695,,2021-04-03 22:46:02.446822
pid_8,Commonwealth Crescent Market,,149644,"31, Commonwealth Crescent, S(149644)",1.306995341,103.80035649999999,,2021-04-03 22:46:02.472227
pid_9,Dunman Food Centre,,424768,"271, Onan Road, S(424768)",1.309403498,103.9018502,,2021-04-03 22:46:02.497200
pid_10,East Coast Lagoon Food Village,,468960,"1220, East Coast Parkway, S(468960)",1.306905736,103.9351379,,2021-04-03 22:46:02.522102
pid_11,Geylang Serai Market,,402001,"Geylang Serai, S(402001)",1.3167363490000001,103.89822790000001,,2021-04-03 22:46:02.546862
pid_12,Golden Mile Food Centre,,199583,"505, Beach Road, S(199583)",1.303141515,103.8638774,,2021-04-03 22:46:02.572264
pid_13,Holland Village Market & Food Centre,,277700,"1, Lorong Mambong, S(277700)",1.311148964,103.79483379999999,,2021-04-03 22:46:02.599174
pid_14,Kallang Estate Market,,397972,"17, Old Airport Road, S(397972)",1.3073961729999999,103.8841302,,2021-04-03 22:46:02.624802
pid_15,Market Street Food Centre,,048940,"50, Market Street, Golden Shoe Multi-Storey Car Park, 2nd/3rd Storey, S(048940)",,,,2021-04-03 22:46:02.859061
pid_16,Maxwell Food Centre,,069184,"1, Kadayanallur Street, S(069184)",1.280537908,103.8444748,,2021-04-03 22:46:02.887351
pid_17,Newton Food Centre,,229495,"500, Clemenceau Ave North, S(229495)",1.312185867,103.8394125,,2021-04-03 22:46:02.913389
pid_18,North Bridge Road Market & Food Centre,,198783,"861, North Bridge Road, S(198783)",1.306140807,103.8640993,,2021-04-03 22:46:02.939261
pid_19,Pasir Panjang Food Centre,,118543,"121, Pasir Panjang Road, S(118543)",1.2756987929999999,103.79162,,2021-04-03 22:46:02.964745
pid_20,Serangoon Garden Market,,555945,"49A, Serangoon Garden Way, S(555945)",1.3627368080000002,103.86616219999999,,2021-04-03 22:46:02.990644
pid_21,Sembawang Hill Food Centre,,574419,"590, Upper Thomson Road, S(574419)",1.372384979,103.82899420000001,,2021-04-03 22:46:03.018887
pid_22,Taman Jurong Market & Food Centre,,618499,"3, Yung Sheng Road, S(618499)",1.334682665,103.7216193,,2021-04-03 22:46:03.046316
pid_23,Tanglin Halt Market,,148813,"48A, Tanglin Halt Road, S(148813)",1.300558071,103.7977194,,2021-04-03 22:46:03.071831
